date,open,high,low,close,volume,dividends,stock splits,ticker
2017-11-27 00:00:00+05:30,304.4041881190323,310.95548133990764,302.6971568478143,309.7098083496094,13114683,0.0,0.0,SBIN.NS
2017-11-28 00:00:00+05:30,310.0327545533697,310.67866738898545,305.6037264662368,306.3418884277344,16054996,0.0,0.0,SBIN.NS
2017-11-29 00:00:00+05:30,306.6648901145686,308.97168178361295,301.91290490815294,303.48150634765625,11264624,0.0,0.0,SBIN.NS
2017-11-30 00:00:00+05:30,300.62107401516016,301.26698693531404,293.88525371790973,295.59228515625,27276288,0.0,0.0,SBIN.NS
2017-12-01 00:00:00+05:30,296.65339071516223,297.3915527410251,287.195545443528,288.5796203613281,16425620,0.0,0.0,SBIN.NS
2017-12-04 00:00:00+05:30,290.3789466030541,291.5323424377356,287.10328553711173,289.36395263671875,13887727,0.0,0.0,SBIN.NS
2017-12-05 00:00:00+05:30,288.3489082004298,295.9151948152383,284.9348458637075,294.4388427734375,15130931,0.0,0.0,SBIN.NS
2017-12-06 00:00:00+05:30,292.2243819435842,292.8702667199907,287.4262439747564,288.2566833496094,18658202,0.0,0.0,SBIN.NS
2017-12-07 00:00:00+05:30,288.348951006458,293.19321338336647,288.3028264379278,291.9475402832031,12278558,0.0,0.0,SBIN.NS
2017-12-08 00:00:00+05:30,292.13209615605405,294.2082086124013,287.9798712433595,288.902587890625,16418832,0.0,0.0,SBIN.NS
2017-12-11 00:00:00+05:30,291.5323299066413,294.6234080834599,290.74801514095486,293.79296875,14014369,0.0,0.0,SBIN.NS
2017-12-12 00:00:00+05:30,293.1931679966497,295.7306383727025,290.3327412136483,293.8390808105469,17658856,0.0,0.0,SBIN.NS
2017-12-13 00:00:00+05:30,291.71684508842117,294.30046844287864,287.1032621258996,289.08709716796875,17540585,0.0,0.0,SBIN.NS
2017-12-14 00:00:00+05:30,290.0098054151401,291.02479926950247,285.5807771621996,289.7330017089844,13894451,0.0,0.0,SBIN.NS
2017-12-15 00:00:00+05:30,293.79295701955596,294.6695490448659,287.4262181718031,288.1182556152344,16050711,0.0,0.0,SBIN.NS
2017-12-18 00:00:00+05:30,284.1966981874625,298.4988047520913,277.18404675621673,294.2543029785156,32119915,0.0,0.0,SBIN.NS
2017-12-19 00:00:00+05:30,294.76184952694996,297.3454449220676,293.79298013447243,295.08477783203125,14741481,0.0,0.0,SBIN.NS
2017-12-20 00:00:00+05:30,294.3465686707985,294.3465686707985,292.039777380275,292.9624938964844,9895770,0.0,0.0,SBIN.NS
2017-12-21 00:00:00+05:30,292.1320449363355,293.6083969449258,291.0247738901246,292.27044677734375,9916409,0.0,0.0,SBIN.NS
2017-12-22 00:00:00+05:30,292.593479927066,298.8218178377974,292.0398442587406,295.1309509277344,13821639,0.0,0.0,SBIN.NS
2017-12-26 00:00:00+05:30,293.97753784270384,295.2232109838876,291.855272597963,292.63958740234375,9329690,0.0,0.0,SBIN.NS
2017-12-27 00:00:00+05:30,292.03978010091106,295.54609163154214,288.85639682670296,290.5173034667969,14276027,0.0,0.0,SBIN.NS
2017-12-28 00:00:00+05:30,290.9325036530248,292.0397747260419,283.87372799999196,284.5657653808594,20353152,0.0,0.0,SBIN.NS
2017-12-29 00:00:00+05:30,286.042167435449,287.88760077374224,285.16557533612854,285.94989013671875,11939569,0.0,0.0,SBIN.NS
