Metric,Baseline,Optimized,Improvement (%)
rmse,0.08538825064897537,0.11588923633098602,-35.720354318618774
mae,0.07548050582408905,0.11135558784008026,-47.528937458992004
r2_score,0.588051184221599,-1.6381967759032543,-378.5806439743385
mape,6.036029011011124,8.716820180416107,-44.413159123566096
directional_accuracy,49.34497816593886,49.70414201183432,0.7278630151332757
explained_variance,0.588051184221599,-1.6381967759032543,-378.5806439743385
